Sat Apr 16 15:21:51.388 2022 : CtMain::main processing for command=/ call show 
Sat Apr 16 15:21:51.389 2022 : Entering LinuxControllerExplorer::explore 
Sat Apr 16 15:21:51.389 2022 : Entering LinuxControllerExplorer::getCtrlCount
Sat Apr 16 15:21:51.390 2022 : LinuxControllerExplorer::getCtrlCount _hDvr=4 _hDvrSwr =-1
Sat Apr 16 15:21:51.390 2022 : LinuxControllerExplorer::getCtrlCount kernelVer=1 
Sat Apr 16 15:21:51.390 2022 : cli_sysfs_scan_for_new_devices: classpath = /sys/class/scsi_host

Sat Apr 16 15:21:51.390 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host0

Sat Apr 16 15:21:51.390 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host0

Sat Apr 16 15:21:51.390 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host0/proc_name

Sat Apr 16 15:21:51.390 2022 : cli_get_adapter_map: drvname = megaraid_sas


Sat Apr 16 15:21:51.390 2022 : cli_get_adapter_map: megaraid_sas driver found

Sat Apr 16 15:21:51.390 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host0/device

Sat Apr 16 15:21:51.390 2022 : cli_get_adapter_map: path /sys/class/scsi_host/host0/device is link
Sat Apr 16 15:21:51.390 2022 : cli_get_adapter_map: devicedir = /sys/devices/pci0000:17/0000:17:02.0/0000:19:00.0/host0

Sat Apr 16 15:21:51.390 2022 : cli_get_adapter_map: host_no = 0

Sat Apr 16 15:21:51.390 2022 : cli_get_adapter_map: domain=0, bus=25 slot=0 func=0

Sat Apr 16 15:21:51.390 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host1

Sat Apr 16 15:21:51.390 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host1

Sat Apr 16 15:21:51.390 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host1/proc_name

Sat Apr 16 15:21:51.390 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.390 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host2

Sat Apr 16 15:21:51.390 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host2

Sat Apr 16 15:21:51.390 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host2/proc_name

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host3

Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host3

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host3/proc_name

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host4

Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host4

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host4/proc_name

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host5

Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host5

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host5/proc_name

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host6

Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host6

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host6/proc_name

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host7

Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host7

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host7/proc_name

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host8

Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host8

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host8/proc_name

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host9

Sat Apr 16 15:21:51.391 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host9

Sat Apr 16 15:21:51.391 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host9/proc_name

Sat Apr 16 15:21:51.392 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.392 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host10

Sat Apr 16 15:21:51.392 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host10

Sat Apr 16 15:21:51.392 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host10/proc_name

Sat Apr 16 15:21:51.392 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.392 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host11

Sat Apr 16 15:21:51.392 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host11

Sat Apr 16 15:21:51.392 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host11/proc_name

Sat Apr 16 15:21:51.392 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.392 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host12

Sat Apr 16 15:21:51.392 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host12

Sat Apr 16 15:21:51.392 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host12/proc_name

Sat Apr 16 15:21:51.392 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.392 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host13

Sat Apr 16 15:21:51.392 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host13

Sat Apr 16 15:21:51.392 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host13/proc_name

Sat Apr 16 15:21:51.392 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.392 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host14

Sat Apr 16 15:21:51.392 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host14

Sat Apr 16 15:21:51.392 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host14/proc_name

Sat Apr 16 15:21:51.392 2022 : cli_get_adapter_map: drvname = ahci


Sat Apr 16 15:21:51.392 2022 : cli_sysfs_scan_for_new_devices:  Exiting rval 0xFFFFFFFF

Sat Apr 16 15:21:51.392 2022 : controller count as per dev node list=1 
Sat Apr 16 15:21:51.392 2022 : LinuxControllerExplorer::explore ctrlCount=1
